SA2_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
403021059,6,3,5,0,5,0,0,0,0,23,10,18,22,0,9,0,21,4,0,81,57,57,110,3,34,27,43,34,6,376,17,25,30,0,19,0,11,3,4,105,82,26,346,0,69,8,25,71,11,642,30,21,14,0,25,29,12,3,0,122,104,22,38,7,34,329,22,70,4,632,65,0,37,97,12,71,5,102,3,389,27,15,13,17,57,15,104,13,0,262,12,25,11,0,9,6,0,0,0,69,37,82,6,0,156,11,0,0,4,299,15,6,9,0,17,25,0,3,5,82,45,223,56,0,85,0,0,4,0,423,16,27,30,27,35,5,8,82,0,227,48,127,36,129,126,6,5,10,11,501,68,395,27,129,77,0,0,7,7,704,74,421,38,392,213,9,11,36,10,1200,16,12,7,28,5,3,0,4,0,76,30,21,119,48,30,6,0,12,0,276,36,22,26,14,21,10,9,12,33,187
403021060,8,3,4,0,0,0,0,12,0,33,8,8,12,0,0,0,11,0,4,43,52,25,59,3,27,29,31,29,4,252,8,13,11,0,14,3,7,4,0,59,115,20,307,0,44,4,25,47,8,580,33,13,4,0,9,24,11,5,3,95,92,29,24,0,20,222,17,33,0,435,55,0,36,75,9,42,11,55,0,289,20,12,13,7,28,10,50,7,0,147,7,20,8,0,10,10,0,0,0,60,20,57,0,0,80,8,0,0,0,170,10,4,5,0,6,33,0,0,3,66,54,205,29,0,62,3,0,0,3,359,14,14,23,22,22,0,3,47,4,145,63,75,23,98,86,4,0,9,0,353,42,335,12,61,45,0,0,0,4,505,50,405,29,241,138,0,10,24,7,905,14,23,7,30,5,6,0,3,5,86,21,21,67,41,17,6,0,13,4,188,18,11,15,4,10,14,11,4,30,123
403021061,9,4,3,0,6,0,0,10,0,30,3,15,25,0,4,0,11,5,0,57,50,38,104,4,26,30,48,70,7,389,8,23,12,0,20,0,9,8,0,87,50,18,242,4,37,8,23,66,8,467,26,27,14,4,19,27,24,8,0,145,101,55,50,6,33,411,23,82,5,774,75,3,104,160,18,62,18,134,8,583,21,25,7,16,51,9,136,14,8,295,12,36,20,0,16,9,4,5,3,92,23,73,0,0,145,4,0,0,4,256,12,11,3,0,7,24,0,7,0,70,49,314,62,3,79,5,0,3,7,515,24,44,16,48,47,0,6,152,0,333,36,134,20,115,133,0,3,11,3,462,47,399,17,140,82,0,0,5,6,702,65,701,58,698,169,7,10,91,20,1812,13,12,16,50,5,5,0,11,0,114,28,27,86,57,31,9,6,23,5,265,15,32,20,30,19,11,17,23,57,231
403021062,11,11,3,0,3,0,4,13,0,42,9,22,29,0,9,0,17,0,0,96,63,50,98,8,34,40,34,50,0,373,25,25,25,0,31,4,10,7,0,123,94,27,356,6,60,7,30,78,11,659,44,34,18,0,23,34,31,10,0,198,106,35,42,4,41,393,27,79,3,722,91,11,83,185,18,53,13,106,3,558,30,26,21,16,62,17,122,11,7,302,11,30,17,0,12,27,0,3,0,96,43,121,3,4,187,9,0,0,4,372,15,16,3,0,18,52,3,8,0,114,77,351,56,0,97,5,0,5,10,607,41,30,28,44,41,3,4,114,0,307,69,174,31,145,160,4,0,8,3,601,81,482,21,141,88,0,5,4,6,828,66,651,50,508,221,9,9,57,15,1589,34,20,28,59,12,6,0,14,5,183,41,30,105,60,30,8,6,24,0,303,28,35,16,17,24,16,17,24,62,250
403021063,5,0,4,0,4,4,0,6,0,23,3,3,31,0,0,0,24,4,0,70,60,31,89,5,39,22,41,28,8,330,13,18,19,0,13,0,10,3,5,85,64,11,313,4,57,7,37,96,12,598,20,14,15,3,19,28,14,0,3,114,79,27,27,7,25,296,19,66,4,554,49,7,39,86,19,51,10,83,0,336,14,14,5,8,56,12,95,9,3,216,10,16,13,0,10,8,0,3,0,56,25,61,0,0,130,9,0,0,0,227,9,3,3,0,16,21,0,0,0,59,35,139,45,3,63,11,6,4,6,296,8,27,31,22,33,4,3,87,7,214,39,86,34,112,123,3,11,16,10,424,37,273,19,97,65,0,0,4,3,501,48,336,45,378,182,14,10,30,9,1041,11,11,9,14,9,3,0,10,0,59,18,19,106,39,23,4,0,14,6,229,13,9,15,16,16,6,13,12,20,119
403021064,7,0,7,0,6,0,5,13,0,34,5,17,23,0,5,0,19,10,0,77,53,43,91,15,41,31,38,52,4,362,18,23,24,0,19,4,4,8,0,98,70,33,347,6,54,11,26,83,5,641,28,21,12,7,28,31,24,9,0,159,92,42,41,5,45,408,24,72,10,734,80,4,73,184,13,64,11,115,7,543,28,26,16,24,59,13,92,11,4,268,14,30,10,0,16,12,0,0,4,81,42,99,9,0,173,11,0,0,5,344,16,9,0,0,16,33,0,7,0,91,64,318,51,3,86,8,0,8,3,545,23,44,22,45,37,5,6,122,0,300,67,153,28,128,140,0,4,10,7,535,67,494,21,132,75,0,0,5,8,792,60,657,58,581,203,12,5,56,17,1653,27,16,11,54,12,12,0,0,4,135,36,19,109,70,28,10,0,30,0,302,28,33,27,15,27,12,16,28,51,225
403031065,7,4,0,0,0,0,0,9,0,22,8,6,7,0,0,0,3,0,0,23,39,24,23,5,14,8,6,3,0,118,12,12,6,0,7,0,3,0,0,33,46,17,74,0,19,0,5,14,3,171,10,10,4,0,4,3,5,0,0,33,30,10,3,0,8,105,3,14,0,184,28,0,12,45,0,24,5,32,0,148,11,7,10,4,7,0,13,7,0,50,15,18,7,0,0,0,0,0,0,43,14,34,0,0,27,0,0,0,0,75,3,4,0,0,3,17,0,0,4,31,53,167,19,3,32,5,0,0,0,280,7,15,12,5,10,0,3,16,0,65,36,76,3,49,42,0,0,0,0,210,37,236,6,45,28,0,0,3,0,352,36,255,8,74,40,0,0,3,0,418,9,14,0,19,7,0,0,0,0,51,12,13,25,20,9,0,0,4,0,78,10,16,6,0,3,0,0,4,9,58
403031066,14,0,0,0,3,0,0,13,0,35,9,10,3,0,5,0,3,0,0,36,34,19,34,6,17,21,15,17,0,159,11,9,5,0,7,0,0,0,0,31,38,21,120,0,15,0,4,40,9,258,0,17,4,0,7,6,12,0,0,57,44,10,17,3,6,171,7,34,0,294,37,3,37,96,10,28,11,69,0,290,10,4,5,7,20,4,40,0,0,96,9,23,10,0,6,4,0,0,0,47,15,30,0,0,42,8,0,0,0,92,12,3,4,0,7,13,0,0,0,38,36,168,35,0,41,3,0,0,3,283,9,14,10,23,20,0,3,52,0,139,36,66,13,53,51,0,0,6,4,229,36,302,11,61,51,5,3,7,0,471,39,345,21,244,86,3,9,27,0,771,9,19,4,17,9,3,0,0,4,66,22,19,38,26,10,6,0,7,3,134,13,19,14,3,11,10,0,8,22,99
403031067,6,3,0,0,0,4,0,9,0,36,10,34,5,0,8,0,11,0,0,76,68,63,64,8,29,32,12,21,3,306,30,21,21,0,7,0,7,7,0,91,92,26,248,4,43,4,15,55,9,499,43,20,9,0,16,25,6,10,0,126,78,30,31,6,35,277,10,69,6,529,36,8,25,97,4,55,8,68,0,305,21,20,13,6,21,10,39,8,0,143,14,48,16,0,6,6,0,0,0,84,51,87,0,0,74,9,0,0,0,226,22,10,3,0,13,32,0,3,5,92,137,385,57,0,105,7,0,0,7,699,19,43,35,15,27,0,0,52,0,182,112,185,18,118,117,5,6,6,8,586,76,636,18,100,78,0,0,9,10,926,102,672,29,260,132,8,0,25,18,1242,24,30,10,46,5,3,0,5,0,118,28,37,85,44,29,6,3,14,0,236,33,31,18,4,26,12,8,9,16,151
403031068,16,4,3,0,3,0,3,10,0,41,13,40,11,0,7,0,12,0,0,94,107,66,55,7,46,33,25,39,6,386,36,23,23,0,16,0,5,5,4,109,112,35,292,5,60,14,12,73,7,607,43,37,12,0,28,20,20,6,0,163,140,45,34,9,21,367,25,74,0,725,72,0,67,156,14,87,6,140,3,544,44,19,17,8,45,14,76,6,0,235,18,40,19,0,20,14,0,0,4,112,65,116,0,0,109,8,0,0,7,311,21,14,6,4,23,52,0,3,0,133,123,538,52,0,106,7,0,9,8,842,39,39,28,18,30,3,0,103,4,272,129,219,25,131,146,6,3,13,10,677,95,584,24,128,71,3,3,8,3,922,99,783,40,402,191,4,8,42,14,1580,29,39,10,45,15,3,3,11,0,155,45,40,113,52,36,7,0,10,5,301,44,37,20,5,23,11,10,13,39,202
403031069,33,9,6,0,4,4,0,15,0,61,30,40,12,0,0,0,6,4,0,92,135,84,43,9,32,37,9,26,3,381,32,41,14,0,17,4,6,0,3,111,132,38,180,5,57,3,8,31,6,462,76,43,5,0,24,39,12,10,0,207,127,47,20,3,35,353,13,57,3,657,98,4,33,184,20,59,0,86,3,486,32,24,8,3,20,3,41,8,0,152,24,47,21,0,16,7,0,5,0,114,58,151,6,0,102,8,0,0,3,330,24,17,3,0,26,71,5,4,0,146,176,712,43,0,126,8,0,3,12,1082,50,27,22,25,32,3,0,75,0,238,111,225,15,70,136,4,0,3,9,578,119,617,15,136,78,3,0,3,0,971,123,964,51,248,214,7,3,39,15,1653,36,32,12,59,8,6,0,0,0,153,38,49,60,36,36,7,0,22,6,254,39,56,19,7,27,10,8,11,39,209
403031070,4,3,0,0,4,0,0,9,0,21,9,9,8,0,3,0,11,0,0,35,47,27,51,0,23,14,21,19,0,203,14,11,9,0,5,3,8,3,0,58,42,15,150,0,32,4,8,46,6,303,12,5,10,0,11,10,3,0,0,59,61,16,22,0,16,194,11,33,0,356,47,5,38,60,7,35,6,65,0,264,11,10,8,5,22,8,86,9,3,155,13,20,12,0,5,3,0,0,0,53,32,64,0,0,73,4,0,0,0,175,6,7,6,0,6,19,0,0,0,45,43,211,18,0,37,0,0,0,4,324,15,20,11,18,19,3,0,52,0,149,43,91,19,46,63,5,0,4,0,267,32,258,17,45,33,0,0,0,0,384,50,384,20,259,80,0,3,39,6,842,13,12,3,18,5,3,0,0,0,53,22,25,61,29,15,9,0,17,0,180,22,17,8,15,14,0,3,11,17,98
403041071,10,0,3,0,0,0,3,8,0,34,10,8,21,0,0,0,8,0,3,56,82,40,88,10,37,31,27,45,7,363,23,19,24,0,13,0,12,7,4,106,66,16,304,0,51,3,31,65,6,556,40,25,16,0,30,31,21,7,0,177,96,22,38,0,32,314,17,70,7,586,38,5,23,86,3,52,11,87,0,310,25,9,10,12,48,7,79,8,6,209,8,25,13,3,8,17,0,0,0,71,31,69,0,0,119,7,0,0,3,231,12,0,5,0,14,19,6,5,0,59,36,198,65,0,74,0,3,3,5,385,16,17,28,12,29,3,3,86,5,199,43,110,20,123,97,0,3,3,8,418,60,369,25,116,80,7,0,3,0,657,66,442,41,380,198,4,8,35,8,1177,4,16,11,23,11,6,0,6,5,74,29,28,115,41,38,3,0,13,3,268,25,25,16,8,23,7,7,16,27,153
403041072,53,6,11,0,4,3,11,48,4,139,5,5,25,7,5,0,60,10,5,113,103,43,125,6,53,31,50,124,7,543,13,9,27,0,16,6,19,11,4,101,66,18,495,5,72,9,71,139,19,889,18,10,21,0,19,29,18,12,0,125,102,19,37,11,35,444,17,83,0,744,68,4,73,146,10,72,16,149,6,527,15,10,6,4,32,7,96,12,3,190,7,17,18,0,13,0,0,3,0,57,19,25,4,4,74,8,0,0,0,140,13,10,3,4,17,35,0,4,0,83,25,129,46,0,70,8,0,10,5,289,21,24,54,27,44,6,6,162,4,351,42,62,25,104,94,7,9,27,9,373,33,298,10,142,56,0,0,10,3,554,51,344,40,531,166,3,8,54,3,1211,8,31,13,12,6,0,0,10,6,82,19,26,158,56,28,11,3,24,0,328,33,26,40,13,30,6,18,38,44,248
403041073,0,0,6,0,0,0,5,5,0,19,0,0,10,0,0,0,11,3,0,28,27,7,83,7,23,17,52,46,0,262,0,3,14,0,6,4,12,3,0,39,30,5,175,0,22,3,33,83,0,357,14,4,9,0,10,17,16,0,4,66,57,4,15,8,15,270,23,65,5,463,34,0,20,58,8,41,0,44,0,212,6,3,8,6,28,10,61,8,0,134,6,10,5,0,7,0,0,0,3,38,3,25,0,3,44,6,0,0,0,83,0,0,0,0,15,10,0,0,0,32,10,50,32,0,22,6,0,9,0,129,7,17,14,13,36,4,4,93,3,195,15,31,21,64,59,0,5,14,3,205,11,94,14,72,20,0,0,5,5,211,24,160,23,321,83,12,3,35,4,667,6,11,6,12,3,3,0,0,0,41,25,7,97,23,12,8,0,18,3,186,12,3,21,5,15,11,20,25,28,133
403041074,8,3,6,0,0,0,3,7,0,30,3,7,18,0,6,0,20,9,0,56,48,24,109,9,29,27,47,51,3,348,6,9,17,0,13,0,18,7,0,74,57,12,325,0,32,5,44,126,8,598,12,7,6,0,12,9,17,3,5,70,72,9,39,6,23,307,22,54,0,525,49,4,43,82,9,38,11,97,0,329,21,4,8,9,33,10,78,8,0,167,8,9,10,0,6,0,0,0,0,42,15,45,5,0,58,8,4,0,0,134,6,5,0,0,4,24,0,5,0,52,16,103,32,0,51,4,3,0,0,210,10,16,26,24,54,3,6,109,4,260,22,75,29,94,88,3,6,19,3,342,28,220,8,114,34,0,0,5,4,417,34,254,31,398,124,4,9,40,7,898,17,12,5,20,4,0,0,0,0,67,14,18,99,33,15,4,4,19,3,206,16,17,37,15,7,8,18,19,39,181
403041075,36,3,7,0,6,0,0,21,0,76,5,3,3,0,0,0,0,0,0,15,25,16,23,0,19,4,3,7,0,100,7,6,3,0,7,0,0,0,0,20,21,4,99,3,12,3,10,18,0,174,9,7,0,0,3,7,9,5,0,40,24,4,10,0,4,69,8,7,0,132,16,0,8,21,0,11,0,3,0,63,7,0,4,0,7,0,11,0,0,30,0,3,4,0,0,0,0,0,0,11,5,10,0,0,16,3,0,0,0,28,3,3,0,0,0,3,0,0,0,20,15,42,17,0,29,0,0,0,3,108,4,0,4,3,8,0,0,13,0,48,6,26,7,16,19,0,0,0,6,79,12,96,5,25,14,0,0,0,0,150,21,97,10,52,40,6,0,4,0,233,0,0,5,13,5,0,0,4,0,30,8,8,22,8,11,0,0,4,0,57,11,11,6,4,16,3,6,4,16,65
403041076,3,0,4,0,5,0,0,3,0,19,5,4,3,0,3,0,6,0,0,24,37,21,30,5,18,9,3,9,0,126,7,4,13,0,5,3,0,0,0,33,38,6,115,0,25,0,4,18,3,208,16,7,6,0,5,4,6,0,0,49,27,7,10,0,11,101,3,26,0,187,18,0,13,41,0,26,3,36,0,136,6,12,4,0,12,3,14,0,0,50,8,9,5,0,3,0,0,0,0,32,13,18,0,0,29,4,0,0,0,62,0,0,0,0,8,8,0,0,0,16,22,113,12,0,31,4,0,3,5,185,6,13,8,6,16,4,4,19,0,74,34,73,13,55,42,0,0,3,5,223,29,209,5,48,28,0,0,3,0,331,26,235,12,110,53,0,3,10,0,450,8,6,4,15,4,0,0,0,0,39,14,20,37,22,12,0,0,0,0,105,9,4,6,3,8,6,0,5,16,57
403041077,7,0,4,0,7,0,0,5,4,25,9,8,22,0,10,0,10,0,0,63,83,44,69,7,34,17,26,27,3,318,17,24,12,0,16,0,4,0,0,75,69,18,235,7,39,8,27,62,6,470,29,23,7,0,21,21,5,7,0,116,108,21,33,8,25,298,14,51,3,565,53,8,25,73,12,50,11,78,3,311,26,8,12,4,27,7,85,6,4,183,9,21,17,0,5,3,0,6,0,59,31,60,0,0,112,8,0,0,6,220,13,8,4,3,17,28,0,11,0,82,64,188,46,0,76,0,0,0,8,386,18,27,27,14,31,3,0,56,6,179,54,107,26,113,75,0,0,8,3,395,56,385,15,118,62,0,0,0,0,651,73,465,24,314,145,4,6,29,5,1071,14,13,8,33,10,9,0,3,0,88,31,31,98,35,22,3,5,15,3,239,28,14,21,14,25,4,9,11,19,156
403041078,11,0,3,0,6,0,0,9,0,22,0,0,7,0,0,0,16,0,0,27,38,16,76,3,28,7,31,41,5,250,4,6,13,0,9,0,10,0,0,48,24,9,205,0,26,5,28,72,0,367,9,7,9,0,17,8,20,6,0,81,51,11,20,4,24,214,8,44,0,382,21,0,14,46,8,25,0,45,0,164,14,5,8,0,29,7,60,3,0,122,3,13,13,0,7,3,0,0,0,33,4,19,3,0,58,4,0,0,0,87,0,3,0,0,8,14,0,0,0,32,14,43,31,0,35,6,0,0,0,129,11,7,18,14,22,5,3,58,3,146,19,21,23,55,44,7,3,7,3,177,14,82,3,69,24,0,0,5,0,197,25,140,24,265,84,0,6,28,0,576,9,7,0,14,0,0,0,0,0,42,12,11,90,16,11,3,0,12,5,165,8,7,15,4,13,6,20,12,26,100
403041079,0,0,3,0,0,3,0,9,0,12,0,0,10,0,0,0,8,3,0,25,26,8,76,4,14,7,57,52,4,261,7,3,7,0,7,0,7,5,0,31,24,5,137,0,29,0,37,81,8,324,3,0,15,0,10,17,22,4,0,67,56,5,24,8,25,207,19,48,4,391,24,0,25,37,5,33,3,44,0,165,9,4,5,13,33,3,62,8,0,132,3,6,9,0,12,0,0,0,0,31,7,14,0,0,43,6,4,0,0,71,8,0,4,0,3,6,0,4,0,23,6,33,21,0,21,0,0,3,0,83,4,10,21,8,17,0,9,97,0,168,8,19,6,55,36,0,8,17,4,157,11,69,9,52,13,0,4,5,0,160,14,102,24,318,73,4,7,35,5,575,4,3,4,8,9,0,0,5,4,36,7,0,78,21,14,0,5,17,0,143,3,6,13,9,14,3,12,21,29,118
403041080,5,3,7,0,4,3,0,8,0,31,8,5,29,0,3,0,21,4,0,73,88,45,137,7,45,39,48,50,4,466,8,10,34,0,14,4,9,3,4,85,72,12,419,0,63,12,46,86,12,723,29,14,16,0,25,34,16,9,0,147,88,14,52,9,54,371,28,71,6,690,51,5,31,75,11,62,7,122,0,370,23,13,7,5,60,11,85,13,0,222,19,14,9,0,19,9,0,0,0,72,29,71,7,0,126,8,0,0,6,251,17,6,8,4,17,24,6,7,3,95,43,193,70,0,76,6,3,3,3,397,27,20,41,23,52,0,8,98,0,271,43,99,33,122,140,0,5,15,3,472,59,383,15,139,79,0,0,7,4,689,68,423,47,415,216,10,15,56,13,1263,20,14,14,27,16,5,0,0,3,100,33,24,142,46,43,7,3,21,5,324,26,29,29,7,27,20,14,8,50,213
403041081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403041082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403041083,118,9,6,0,18,6,6,46,0,203,4,3,7,0,0,0,14,4,4,36,100,62,58,16,26,29,21,71,10,382,9,7,12,0,6,0,11,0,0,49,52,11,221,0,32,6,33,51,10,410,26,8,0,0,12,10,11,0,0,74,56,9,25,11,17,175,9,25,0,329,50,3,24,73,5,20,0,64,0,244,15,6,6,6,23,7,39,0,5,102,8,12,5,0,6,0,0,0,0,29,12,24,0,0,55,5,0,0,0,101,12,3,0,0,14,20,0,3,6,51,24,83,28,0,44,3,5,0,0,187,12,17,18,13,10,7,5,37,0,115,27,48,17,66,47,0,6,9,4,220,17,175,10,64,36,0,0,0,0,309,35,189,22,150,91,0,6,11,3,510,9,11,0,8,4,0,0,6,0,44,12,3,63,22,19,6,0,12,0,135,8,4,9,8,14,7,0,13,18,88
403041084,3,0,0,0,6,0,3,15,0,26,4,0,15,0,0,0,23,4,0,52,47,20,152,3,39,21,69,79,5,434,12,7,27,0,13,4,13,6,0,82,52,18,370,5,55,5,64,103,14,688,27,13,17,0,17,24,31,8,0,138,100,19,45,4,41,445,36,98,8,803,60,0,48,95,8,63,0,86,0,356,22,8,16,14,55,10,134,16,0,263,4,17,12,0,13,9,0,0,3,60,23,36,3,5,111,9,0,3,0,192,8,4,0,0,14,13,0,4,0,44,12,79,37,5,53,0,0,0,0,195,12,24,36,29,53,6,6,167,0,336,25,73,28,108,119,0,8,18,8,378,29,158,17,139,51,0,4,10,4,398,53,229,48,563,201,3,13,65,20,1184,16,10,13,25,0,0,0,8,0,72,15,19,146,45,29,4,0,25,5,298,15,11,36,26,17,12,25,26,55,229
403041085,4,0,4,0,5,0,0,11,0,32,0,0,11,0,0,0,34,6,0,55,39,27,93,0,26,20,69,69,6,352,0,9,14,0,5,0,15,3,0,51,24,9,237,0,26,5,40,92,9,443,5,10,13,0,11,15,25,0,5,93,59,15,46,10,22,298,27,70,3,547,47,3,30,62,9,41,8,75,0,274,5,8,5,9,43,5,95,8,4,184,4,10,10,0,0,5,0,0,0,33,7,24,0,4,55,8,0,0,0,106,5,0,0,0,10,11,3,4,0,28,13,65,19,0,51,6,0,5,4,161,9,25,27,27,36,6,9,113,3,242,10,33,22,90,53,3,3,13,5,230,16,115,13,86,28,4,6,0,0,260,36,150,34,392,95,3,14,56,11,793,5,3,8,13,0,4,0,4,0,41,11,10,106,29,13,4,5,20,0,194,7,9,15,15,16,12,21,22,32,154
