store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Padstow,-33.9420976,151.0367608,119011358,Padstow,Bankstown,Sydney - Inner South West,New South Wales
Penrith,-33.7435888,150.6895911,124031464,Penrith,Penrith,Sydney - Outer West and Blue Mountains,New South Wales
Port Macquarie,-31.4542225,152.872867,108041164,Port Macquarie - West,Port Macquarie,Mid North Coast,New South Wales
Port Stephens,-32.7489022,152.0703421,106031121,Nelson Bay Peninsula,Port Stephens,Hunter Valley exc Newcastle,New South Wales
Pymble,-33.7503662,151.1461177,121031409,Pymble,Ku-ring-gai,Sydney - North Sydney and Hornsby,New South Wales
Randwick,-33.9084036,151.2486064,118021569,Randwick - North,Eastern Suburbs - South,Sydney - Eastern Suburbs,New South Wales
Rockdale,-33.9579003,151.14488,119041381,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,New South Wales
Rose Bay,-33.8725461,151.2739754,118011346,Rose Bay - Vaucluse - Watsons Bay,Eastern Suburbs - North,Sydney - Eastern Suburbs,New South Wales
Rouse Hill,-33.6750612,150.912359,115041625,Rouse Hill - Beaumont Hills,Rouse Hill - McGraths Hill,Sydney - Baulkham Hills and Hawkesbury,New South Wales
Rozelle,-33.8655271,151.1765796,120021389,Lilyfield - Rozelle,Leichhardt,Sydney - Inner West,New South Wales
Rydalmere,-33.8095529,151.0341685,125021477,Ermington - Rydalmere,Carlingford,Sydney - Parramatta,New South Wales
Seven Hills,-33.7666302,150.9569224,116011307,Lalor Park - Kings Langley,Blacktown,Sydney - Blacktown,New South Wales
Shellharbour,-34.5726,150.8155,107031137,Albion Park Rail,Kiama - Shellharbour,Illawarra,New South Wales
Singleton,-32.5436,151.1484,106011112,Singleton,Lower Hunter,Hunter Valley exc Newcastle,New South Wales
