SA2_CODE_2021,SA2_NAME_2021,SA3_NAME,median_age,weekly_personal_income,weekly_household_income,weekly_rent,avg_household_size,population,bunnings_count
403041079,Hackham West - Huntfield Heights,Onkaparinga,38,558,1080,262,2.4,7818,0
403041080,Happy Valley,Onkaparinga,42,778,1568,355,2.5,13864,0
403041081,Happy Valley Reservoir,Onkaparinga,67,774,1375,0,2.0,0,0
403041082,Lonsdale,Onkaparinga,48,550,725,190,1.6,23,0
403041083,McLaren Vale,Onkaparinga,45,776,1638,350,2.5,7344,0
403041084,Morphett Vale - East,Onkaparinga,42,661,1228,300,2.3,13863,0
403041085,Morphett Vale - West,Onkaparinga,39,612,1163,295,2.3,10138,0
403041086,Reynella,Onkaparinga,40,704,1334,325,2.4,10286,1
403041088,Willunga,Onkaparinga,48,769,1755,320,2.6,3604,0
403041089,Woodcroft,Onkaparinga,42,773,1672,350,2.6,11552,0
403041177,Seaford - Seaford Meadows,Onkaparinga,37,755,1466,350,2.5,14177,1
403041178,Seaford Rise - Moana,Onkaparinga,40,738,1521,320,2.6,10629,0
404011090,Beverley,Charles Sturt,36,847,1695,330,2.4,8897,0
404011091,Flinders Park,Charles Sturt,39,759,1563,340,2.4,16361,0
404011092,Henley Beach,Charles Sturt,44,886,1786,350,2.4,15634,0
404011093,Hindmarsh - Brompton,Charles Sturt,37,818,1631,340,2.3,19076,0
404011094,Royal Park - Hendon - Albert Park,Charles Sturt,38,738,1427,314,2.3,6499,0
404011095,Seaton - Grange,Charles Sturt,43,747,1425,320,2.3,17501,0
404011096,West Lakes,Charles Sturt,51,771,1506,320,2.2,15205,0
404011097,Woodville - Cheltenham,Charles Sturt,37,726,1491,310,2.5,19269,1
404021098,Dry Creek - South,Port Adelaide - West,0,0,0,0,0.0,0,0
404021099,Largs Bay - Semaphore,Port Adelaide - West,45,858,1584,320,2.2,14807,0
404021100,North Haven,Port Adelaide - West,44,720,1414,300,2.3,14800,0
404021101,Port Adelaide,Port Adelaide - West,41,671,1247,275,2.2,11589,0
404021102,The Parks,Port Adelaide - West,36,566,1297,270,2.6,19645,0
404021103,Torrens Island,Port Adelaide - West,64,450,749,0,1.3,4,0
404031104,Adelaide Airport,West Torrens,51,3250,0,0,0.0,4,1
404031105,Fulham,West Torrens,44,812,1753,315,2.5,2920,0
404031106,Lockleys,West Torrens,40,827,1635,300,2.4,13452,0
404031107,Plympton,West Torrens,36,794,1551,300,2.3,26480,0
404031108,Richmond (SA),West Torrens,37,774,1555,325,2.3,17022,1
404031109,West Beach,West Torrens,45,896,1746,320,2.4,5175,0
