SA2_CODE_2021,SA2_NAME_2021,SA3_NAME,GCC_NAME
404021103,Torrens Island,Port Adelaide - West,Greater Adelaide
404031104,Adelaide Airport,West Torrens,Greater Adelaide
404031105,Fulham,West Torrens,Greater Adelaide
404031106,Lockleys,West Torrens,Greater Adelaide
404031107,Plympton,West Torrens,Greater Adelaide
404031108,Richmond (SA),West Torrens,Greater Adelaide
404031109,West Beach,West Torrens,Greater Adelaide
405011110,Barossa - Angaston,Barossa,Rest of SA
405011111,Light,Barossa,Rest of SA
405011112,Lyndoch,Barossa,Rest of SA
405011113,Mallala,Barossa,Rest of SA
405011114,Nuriootpa,Barossa,Rest of SA
405011115,Tanunda,Barossa,Rest of SA
405021116,Clare,Lower North,Rest of SA
405021117,Gilbert Valley,Lower North,Rest of SA
405021118,Goyder,Lower North,Rest of SA
405021119,Wakefield - Barunga West,Lower North,Rest of SA
405031120,Jamestown,Mid North,Rest of SA
405031121,Peterborough - Mount Remarkable,Mid North,Rest of SA
405031122,Port Pirie,Mid North,Rest of SA
405031123,Port Pirie Surrounds,Mid North,Rest of SA
405041124,Kadina,Yorke Peninsula,Rest of SA
405041125,Moonta,Yorke Peninsula,Rest of SA
405041126,Wallaroo,Yorke Peninsula,Rest of SA
405041127,Yorke Peninsula - North,Yorke Peninsula,Rest of SA
405041128,Yorke Peninsula - South,Yorke Peninsula,Rest of SA
406011129,Ceduna,Eyre Peninsula and South West,Rest of SA
406011130,Eyre Peninsula,Eyre Peninsula and South West,Rest of SA
406011131,Kimba - Cleve - Franklin Harbour,Eyre Peninsula and South West,Rest of SA
406011132,Le Hunte - Elliston,Eyre Peninsula and South West,Rest of SA
406011133,Port Lincoln,Eyre Peninsula and South West,Rest of SA
406011134,West Coast (SA),Eyre Peninsula and South West,Rest of SA
406011135,Western,Eyre Peninsula and South West,Rest of SA
406011136,Whyalla,Eyre Peninsula and South West,Rest of SA
406011137,Whyalla - North,Eyre Peninsula and South West,Rest of SA
406021138,APY Lands,Outback - North and East,Rest of SA
406021139,Coober Pedy,Outback - North and East,Rest of SA
406021140,Quorn - Lake Gilles,Outback - North and East,Rest of SA
406021141,Outback,Outback - North and East,Rest of SA
406021142,Port Augusta,Outback - North and East,Rest of SA
406021143,Roxby Downs,Outback - North and East,Rest of SA
407011144,Goolwa - Port Elliot,Fleurieu - Kangaroo Island,Rest of SA
407011145,Kangaroo Island,Fleurieu - Kangaroo Island,Rest of SA
407011146,Strathalbyn,Fleurieu - Kangaroo Island,Rest of SA
407011147,Strathalbyn Surrounds,Fleurieu - Kangaroo Island,Rest of SA
407011148,Victor Harbor,Fleurieu - Kangaroo Island,Rest of SA
407011149,Yankalilla,Fleurieu - Kangaroo Island,Rest of SA
407021150,Grant,Limestone Coast,Rest of SA
407021151,Kingston - Robe,Limestone Coast,Rest of SA
407021152,Millicent,Limestone Coast,Rest of SA
407021154,Naracoorte,Limestone Coast,Rest of SA
407021155,Naracoorte Surrounds,Limestone Coast,Rest of SA
407021156,Penola,Limestone Coast,Rest of SA
407021157,Tatiara,Limestone Coast,Rest of SA
407021158,Wattle Range,Limestone Coast,Rest of SA
407021173,Mount Gambier - East,Limestone Coast,Rest of SA
407021174,Mount Gambier - West,Limestone Coast,Rest of SA
407031159,Barmera,Murray and Mallee,Rest of SA
407031160,Berri,Murray and Mallee,Rest of SA
407031161,Karoonda - Lameroo,Murray and Mallee,Rest of SA
407031162,Loxton,Murray and Mallee,Rest of SA
407031163,Loxton Surrounds,Murray and Mallee,Rest of SA
407031164,Mannum,Murray and Mallee,Rest of SA
407031165,Murray Bridge,Murray and Mallee,Rest of SA
407031166,Murray Bridge Surrounds,Murray and Mallee,Rest of SA
407031167,Renmark,Murray and Mallee,Rest of SA
407031168,Renmark Surrounds,Murray and Mallee,Rest of SA
407031169,The Coorong,Murray and Mallee,Rest of SA
407031170,Waikerie,Murray and Mallee,Rest of SA
497979799,Migratory - Offshore - Shipping (SA),Migratory - Offshore - Shipping (SA),Migratory - Offshore - Shipping (SA)
499999499,No usual address (SA),No usual address (SA),No usual address (SA)
